city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Moscow,55.7558,37.6178,Russia,RU,Moskva,primary,17125000,13200000
Saint Petersburg,59.9500,30.3167,Russia,RU,Sankt-Peterburg,admin,5351935,5351935
Novosibirsk,55.0333,82.9167,Russia,RU,Novosibirskaya Oblast’,admin,1602915,1602915
Yekaterinburg,56.8356,60.6128,Russia,RU,Sverdlovskaya Oblast’,admin,1468833,1468833
Nizhniy Novgorod,56.3269,44.0075,Russia,RU,Nizhegorodskaya Oblast’,admin,1264075,1264075
Kazan,55.7908,49.1144,Russia,RU,Tatarstan,admin,1243500,1243500
Chelyabinsk,55.1500,61.4000,Russia,RU,Chelyabinskaya Oblast’,admin,1202371,1202371
Omsk,54.9667,73.3833,Russia,RU,Omskaya Oblast’,admin,1178391,1178391
Samara,53.1833,50.1167,Russia,RU,Samarskaya Oblast’,admin,1169719,1169719
Rostov,47.2333,39.7167,Russia,RU,Rostovskaya Oblast’,admin,1125299,1125299
Ufa,54.7333,55.9667,Russia,RU,Bashkortostan,admin,1115560,1115560
Krasnoyarsk,56.0167,92.8667,Russia,RU,Krasnoyarskiy Kray,admin,1083865,1083865
Perm,58.0139,56.2489,Russia,RU,Permskiy Kray,admin,1048005,1048005
Voronezh,51.6717,39.2106,Russia,RU,Voronezhskaya Oblast’,admin,1047549,1047549
Volgograd,48.7000,44.4833,Russia,RU,Volgogradskaya Oblast’,admin,1015586,1015586
Krasnodar,45.0333,38.9833,Russia,RU,Krasnodarskiy Kray,admin,881476,881476
Saratov,51.5333,46.0000,Russia,RU,Saratovskaya Oblast’,admin,845300,845300
Tyumen,57.1500,65.5333,Russia,RU,Tyumenskaya Oblast’,admin,744554,744554
Tolyatti,53.5167,49.4167,Russia,RU,Samarskaya Oblast’,,707408,707408
Izhevsk,56.8500,53.2167,Russia,RU,Udmurtiya,admin,646277,646277
Barnaul,53.3567,83.7872,Russia,RU,Altayskiy Kray,admin,633301,633301
Ulyanovsk,54.3167,48.3667,Russia,RU,Ul’yanovskaya Oblast’,admin,624518,624518
Irkutsk,52.2833,104.3000,Russia,RU,Irkutskaya Oblast’,admin,623736,623736
Khabarovsk,48.4833,135.0667,Russia,RU,Khabarovskiy Kray,admin,616242,616242
Yaroslavl,57.6167,39.8500,Russia,RU,Yaroslavskaya Oblast’,admin,608079,608079
Vladivostok,43.1167,131.9000,Russia,RU,Primorskiy Kray,admin,606589,606589
Makhachkala,42.9833,47.4833,Russia,RU,Dagestan,admin,592976,592976
Tomsk,56.4886,84.9522,Russia,RU,Tomskaya Oblast’,admin,572740,572740
Orenburg,51.7667,55.1000,Russia,RU,Orenburgskaya Oblast’,admin,564443,564443
Kemerovo,55.3333,86.0667,Russia,RU,Kemerovskaya Oblast’,admin,556920,556920
Novokuznetsk,53.7500,87.1167,Russia,RU,Kemerovskaya Oblast’,,552105,552105
Ryazan,54.6167,39.7167,Russia,RU,Ryazanskaya Oblast’,admin,537622,537622
Astrakhan,46.3333,48.0167,Russia,RU,Astrakhanskaya Oblast’,admin,532504,532504
Naberezhnyye Chelny,55.7000,52.3333,Russia,RU,Tatarstan,,529797,529797
Penza,53.2000,45.0000,Russia,RU,Penzenskaya Oblast’,admin,523726,523726
Lipetsk,52.6167,39.6000,Russia,RU,Lipetskaya Oblast’,admin,510439,510439
Kirov,58.6000,49.6500,Russia,RU,Kirovskaya Oblast’,admin,501468,501468
Cheboksary,56.1333,47.2500,Russia,RU,Chuvashiya,admin,489498,489498
Tula,54.2000,37.6167,Russia,RU,Tul’skaya Oblast’,admin,485221,485221
Kaliningrad,54.7167,20.5000,Russia,RU,Kaliningradskaya Oblast’,admin,475056,475056
Balashikha,55.8000,37.9500,Russia,RU,Moskovskaya Oblast’,,450771,450771
Kursk,51.7372,36.1872,Russia,RU,Kurskaya Oblast’,admin,449063,449063
Stavropol,45.0500,41.9833,Russia,RU,Stavropol’skiy Kray,admin,433577,433577
Ulan-Ude,51.8272,107.6064,Russia,RU,Buryatiya,admin,431922,431922
Tver,56.8578,35.9219,Russia,RU,Tverskaya Oblast’,admin,419363,419363
Magnitogorsk,53.3833,59.0333,Russia,RU,Chelyabinskaya Oblast’,,418241,418241
Sochi,43.5853,39.7203,Russia,RU,Krasnodarskiy Kray,,411524,411524
Ivanovo,57.0000,41.0000,Russia,RU,Ivanovskaya Oblast’,admin,406933,406933
Bryansk,53.2500,34.3667,Russia,RU,Bryanskaya Oblast’,admin,406553,406553
Belgorod,50.6000,36.6000,Russia,RU,Belgorodskaya Oblast’,admin,391135,391135
Surgut,61.2500,73.4333,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,,360590,360590
Vladimir,56.1333,40.4167,Russia,RU,Vladimirskaya Oblast’,admin,356168,356168
Nizhniy Tagil,57.9167,59.9667,Russia,RU,Sverdlovskaya Oblast’,,355693,355693
Arkhangelsk,64.5500,40.5333,Russia,RU,Arkhangel’skaya Oblast’,admin,351488,351488
Chita,52.0333,113.5000,Russia,RU,Zabaykal’skiy Kray,admin,347088,347088
Kaluga,54.5333,36.2667,Russia,RU,Kaluzhskaya Oblast’,admin,341892,341892
Smolensk,54.7828,32.0453,Russia,RU,Smolenskaya Oblast’,admin,329853,329853
Volzhskiy,48.7833,44.7667,Russia,RU,Volgogradskaya Oblast’,,326055,326055
Kurgan,55.4408,65.3411,Russia,RU,Kurganskaya Oblast’,admin,322042,322042
Cherepovets,59.1333,37.9167,Russia,RU,Vologodskaya Oblast’,,318856,318856
Saransk,54.1833,45.1833,Russia,RU,Mordoviya,admin,314789,314789
Vologda,59.2167,39.9000,Russia,RU,Vologodskaya Oblast’,admin,313012,313012
Orël,52.9686,36.0694,Russia,RU,Orlovskaya Oblast’,admin,311625,311625
Yakutsk,62.0272,129.7319,Russia,RU,Sakha (Yakutiya),admin,307911,307911
Vladikavkaz,43.0167,44.6500,Russia,RU,North Ossetia,admin,306978,306978
Podolsk,55.4297,37.5444,Russia,RU,Moskovskaya Oblast’,,299660,299660
Murmansk,68.9667,33.0833,Russia,RU,Murmanskaya Oblast’,admin,298096,298096
Groznyy,43.3125,45.6986,Russia,RU,Chechnya,admin,291687,291687
Tambov,52.7167,41.4333,Russia,RU,Tambovskaya Oblast’,admin,290365,290365
Sterlitamak,53.6333,55.9500,Russia,RU,Bashkortostan,,280233,280233
Petrozavodsk,61.7833,34.3500,Russia,RU,Kareliya,admin,278551,278551
Kostroma,57.7667,40.9333,Russia,RU,Kostromskaya Oblast’,admin,277648,277648
Nizhnevartovsk,60.9389,76.5950,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,,274575,274575
Novorossiysk,44.7167,37.7667,Russia,RU,Krasnodarskiy Kray,,270774,270774
Yoshkar-Ola,56.6328,47.8958,Russia,RU,Mariy-El,admin,266675,266675
Nalchik,43.4833,43.6167,Russia,RU,Kabardino-Balkariya,admin,265162,265162
Taganrog,47.2333,38.9000,Russia,RU,Rostovskaya Oblast’,,250287,250287
Komsomol’sk-na-Amure,50.5500,137.0000,Russia,RU,Khabarovskiy Kray,minor,249810,249810
Syktyvkar,61.6667,50.8167,Russia,RU,Komi,admin,245313,245313
Khimki,55.8892,37.4450,Russia,RU,Moskva,,244668,244668
Nizhnekamsk,55.6333,51.8167,Russia,RU,Tatarstan,,237250,237250
Shakhty,47.7000,40.2333,Russia,RU,Rostovskaya Oblast’,,235492,235492
Dzerzhinsk,56.2333,43.4500,Russia,RU,Nizhegorodskaya Oblast’,,231797,231797
Bratsk,56.1667,101.6167,Russia,RU,Irkutskaya Oblast’,,231602,231602
Orsk,51.2145,58.5441,Russia,RU,Orenburgskaya Oblast’,,230414,230414
Noginsk,64.4833,91.2333,Russia,RU,Krasnoyarskiy Kray,,229731,229731
Angarsk,52.5667,103.9167,Russia,RU,Irkutskaya Oblast’,,226374,226374
Kolpino,59.7300,30.6500,Russia,RU,Sankt-Peterburg,,225801,136076
Engels,51.4667,46.1167,Russia,RU,Saratovskaya Oblast’,,225752,225752
Blagoveshchensk,50.2578,127.5364,Russia,RU,Amurskaya Oblast’,admin,224419,224419
Staryy Oskol,51.2981,37.8350,Russia,RU,Belgorodskaya Oblast’,,223360,223360
Velikiy Novgorod,58.5210,31.2758,Russia,RU,Novgorodskaya Oblast’,admin,222594,222594
Korolëv,55.9167,37.8167,Russia,RU,Moskovskaya Oblast’,,221797,221797
Pskov,57.8167,28.3333,Russia,RU,Pskovskaya Oblast’,admin,209840,209840
Mytishchi,55.9167,37.7333,Russia,RU,Moskovskaya Oblast’,,205397,205397
Biysk,52.5167,85.1667,Russia,RU,Altayskiy Kray,,203108,203108
Lyubertsy,55.6814,37.8939,Russia,RU,Moskovskaya Oblast’,,197705,197705
Prokopyevsk,53.8833,86.7167,Russia,RU,Kemerovskaya Oblast’,,196406,196406
Yuzhno-Sakhalinsk,46.9500,142.7333,Russia,RU,Sakhalinskaya Oblast’,admin,194882,194882
Balakovo,52.0390,47.7839,Russia,RU,Saratovskaya Oblast’,,191260,191260
Armavir,45.0000,41.1167,Russia,RU,Krasnodarskiy Kray,,190709,190709
Rybinsk,58.0500,38.8333,Russia,RU,Yaroslavskaya Oblast’,,190429,190429
Severodvinsk,64.5667,39.8500,Russia,RU,Arkhangel’skaya Oblast’,,183996,183996
Abakan,53.7167,91.4167,Russia,RU,Khakasiya,admin,181709,181709
Petropavlovsk-Kamchatskiy,53.0167,158.6500,Russia,RU,Kamchatskiy Kray,admin,181216,181216
Norilsk,69.3333,88.2167,Russia,RU,Krasnoyarskiy Kray,,177428,177428
Syzran,53.1667,48.4667,Russia,RU,Samarskaya Oblast’,,173260,173260
Krasnogorsk,55.8167,37.3333,Russia,RU,Moskovskaya Oblast’,,171793,171793
Volgodonsk,47.5167,42.1500,Russia,RU,Rostovskaya Oblast’,,171471,171471
Ussuriysk,43.8000,131.9500,Russia,RU,Primorskiy Kray,,170660,170660
Kamensk-Ural’skiy,56.4000,61.9333,Russia,RU,Sverdlovskaya Oblast’,,169929,169929
Novocherkassk,47.4222,40.0939,Russia,RU,Rostovskaya Oblast’,,168766,168766
Zlatoust,55.1667,59.6667,Russia,RU,Chelyabinskaya Oblast’,,167978,167978
Nakhodka,67.7504,77.5200,Russia,RU,Yamalo-Nenetskiy Avtonomnyy Okrug,,159551,159551
Elektrostal,55.8000,38.4500,Russia,RU,Moskovskaya Oblast’,,158508,158508
Almetyevsk,54.9000,52.3000,Russia,RU,Tatarstan,,154262,154262
Salavat,53.3667,55.9333,Russia,RU,Bashkortostan,,153181,153181
Miass,55.0500,60.1000,Russia,RU,Chelyabinskaya Oblast’,,151856,151856
Nakhodka,42.8167,132.8833,Russia,RU,Primorskiy Kray,,151420,151420
Kopeysk,55.1000,61.6167,Russia,RU,Chelyabinskaya Oblast’,,147573,147573
Pyatigorsk,44.0333,43.0500,Russia,RU,Stavropol’skiy Kray,,145836,145836
Rubtsovsk,51.5167,81.2000,Russia,RU,Altayskiy Kray,,145333,145333
Berezniki,59.4167,56.7833,Russia,RU,Permskiy Kray,,145115,145115
Kolomna,55.0833,38.7833,Russia,RU,Moskovskaya Oblast’,,144125,144125
Maykop,44.6000,40.0833,Russia,RU,Adygeya,admin,141970,141970
Khasavyurt,43.2500,46.5833,Russia,RU,Dagestan,minor,141259,141259
Odintsovo,55.6733,37.2733,Russia,RU,Moskovskaya Oblast’,,140537,140537
Kovrov,56.3606,41.3197,Russia,RU,Vladimirskaya Oblast’,,138552,138552
Kislovodsk,43.9100,42.7200,Russia,RU,Stavropol’skiy Kray,,129593,129593
Domodedovo,55.4333,37.7500,Russia,RU,Moskovskaya Oblast’,,127850,127850
Neftekamsk,56.0833,54.2500,Russia,RU,Bashkortostan,,126805,126805
Bataysk,47.1333,39.7500,Russia,RU,Rostovskaya Oblast’,,126769,126769
Novocheboksarsk,56.1167,47.5000,Russia,RU,Chuvashiya,,126626,126626
Nefteyugansk,61.1000,72.6000,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,,126157,126157
Serpukhov,54.9167,37.4000,Russia,RU,Moskovskaya Oblast’,,125817,125817
Novomoskovsk,54.0333,38.2667,Russia,RU,Tul’skaya Oblast’,,125647,125647
Shchelkovo,55.9167,38.0000,Russia,RU,Moskovskaya Oblast’,,125634,125634
Pervouralsk,56.9167,59.9500,Russia,RU,Sverdlovskaya Oblast’,,124447,124447
Derbent,42.0692,48.2958,Russia,RU,Dagestan,minor,123720,123720
Cherkessk,44.2222,42.0575,Russia,RU,Karachayevo-Cherkesiya,admin,122395,122395
Orekhovo-Zuyevo,55.8000,38.9667,Russia,RU,Moskovskaya Oblast’,,118822,118822
Nazran,43.2167,44.7667,Russia,RU,Ingushetiya,,117936,117936
Nevinnomyssk,44.6333,41.9333,Russia,RU,Stavropol’skiy Kray,,117446,117446
Kaspiysk,42.8833,47.6333,Russia,RU,Dagestan,,116340,116340
Ramenskoye,55.5669,38.2303,Russia,RU,Moskovskaya Oblast’,,116077,116077
Dimitrovgrad,54.2333,49.5833,Russia,RU,Ul’yanovskaya Oblast’,,116055,116055
Kyzyl,51.7167,94.4500,Russia,RU,Tyva,admin,116015,116015
Obninsk,55.1000,36.6167,Russia,RU,Kaluzhskaya Oblast’,,115029,115029
Oktyabr’skiy,54.4833,53.4833,Russia,RU,Bashkortostan,,113929,113929
Novyy Urengoy,66.0847,76.6789,Russia,RU,Yamalo-Nenetskiy Avtonomnyy Okrug,,113254,113254
Kamyshin,50.0833,45.4000,Russia,RU,Volgogradskaya Oblast’,,111100,111100
Murom,55.5725,42.0514,Russia,RU,Vladimirskaya Oblast’,,109072,109072
Dolgoprudnyy,55.9333,37.5000,Russia,RU,Moskovskaya Oblast’,,108861,108861
Yessentuki,44.0431,42.8644,Russia,RU,Stavropol’skiy Kray,,108679,108679
Novoshakhtinsk,47.7667,39.9167,Russia,RU,Rostovskaya Oblast’,,108345,108345
Zhukovskiy,55.6011,38.1161,Russia,RU,Moskovskaya Oblast’,,107994,107994
Seversk,56.6000,84.8500,Russia,RU,Tomskaya Oblast’,,107922,107922
Reutov,55.7667,37.8667,Russia,RU,Moskovskaya Oblast’,,106990,106990
Noyabrsk,63.2017,75.4517,Russia,RU,Yamalo-Nenetskiy Avtonomnyy Okrug,,106879,106879
Artëm,43.3500,132.1833,Russia,RU,Primorskiy Kray,,106692,106692
Pushkino,56.0167,37.8500,Russia,RU,Moskovskaya Oblast’,,105479,105479
Achinsk,56.2817,90.5039,Russia,RU,Krasnoyarskiy Kray,,105264,105264
Sergiyev Posad,56.3000,38.1333,Russia,RU,Moskovskaya Oblast’,,104579,104579
Arzamas,55.3833,43.8000,Russia,RU,Nizhegorodskaya Oblast’,,104547,104547
Yelets,52.6167,38.4667,Russia,RU,Lipetskaya Oblast’,,104349,104349
Berdsk,54.7500,83.1000,Russia,RU,Novosibirskaya Oblast’,,103578,103578
Elista,46.3167,44.2667,Russia,RU,Kalmykiya,admin,103132,103132
Noginsk,55.8500,38.4333,Russia,RU,Moskovskaya Oblast’,,102592,102592
Novokuybyshevsk,53.1000,49.9167,Russia,RU,Samarskaya Oblast’,,102075,102075
Zheleznogorsk,52.3333,35.3667,Russia,RU,Kurskaya Oblast’,,100740,100740
Zelënodol’sk,55.8500,48.5167,Russia,RU,Tatarstan,,99491,99491
Tobolsk,58.1953,68.2581,Russia,RU,Tyumenskaya Oblast’,,98886,98886
Khanty-Mansiysk,61.0000,69.0000,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,admin,98692,98692
Sarapul,56.4667,53.8000,Russia,RU,Udmurtiya,,97910,97910
Serov,59.6000,60.5667,Russia,RU,Sverdlovskaya Oblast’,,97762,97762
Votkinsk,57.0500,54.0000,Russia,RU,Udmurtiya,,97550,97550
Ukhta,63.5667,53.7000,Russia,RU,Komi,,97087,97087
Mezhdurechensk,53.6833,88.0500,Russia,RU,Kemerovskaya Oblast’,,97060,97060
Leninsk-Kuznetskiy,54.6500,86.1667,Russia,RU,Kemerovskaya Oblast’,,96139,96139
Sarov,54.9333,43.3167,Russia,RU,Nizhegorodskaya Oblast’,,95388,95388
Solikamsk,59.6333,56.7667,Russia,RU,Permskiy Kray,,94628,94628
Gatchina,59.5667,30.1333,Russia,RU,Leningradskaya Oblast’,,94447,94447
Mikhaylovsk,45.1283,42.0256,Russia,RU,Stavropol’skiy Kray,,93658,93658
Voskresensk,55.3167,38.6833,Russia,RU,Moskovskaya Oblast’,,93565,93565
Michurinsk,52.8922,40.4928,Russia,RU,Tambovskaya Oblast’,,93330,93330
Glazov,58.1333,52.6500,Russia,RU,Udmurtiya,,93056,93056
Magadan,59.5667,150.8000,Russia,RU,Magadanskaya Oblast’,admin,92782,92782
Velikiye Luki,56.3500,30.5167,Russia,RU,Pskovskaya Oblast’,,91435,91435
Kiselëvsk,53.9833,86.7000,Russia,RU,Kemerovskaya Oblast’,,89867,89867
Kansk,56.2000,95.7000,Russia,RU,Krasnoyarskiy Kray,,89508,89508
Kamensk-Shakhtinskiy,48.3167,40.2667,Russia,RU,Rostovskaya Oblast’,minor,88997,88997
Lobnya,56.0167,37.4833,Russia,RU,Moskovskaya Oblast’,,88220,88220
Gubkin,51.2833,37.5500,Russia,RU,Belgorodskaya Oblast’,,86780,86780
Novotroitsk,51.2067,58.3281,Russia,RU,Orenburgskaya Oblast’,,86474,86474
Buzuluk,52.7667,52.2667,Russia,RU,Orenburgskaya Oblast’,,86316,86316
Shchëkino,54.0143,37.5143,Russia,RU,Tul’skaya Oblast’,,86088,60700
Bugulma,54.5333,52.7833,Russia,RU,Tatarstan,,86085,86085
Yeysk,46.7106,38.2778,Russia,RU,Krasnodarskiy Kray,minor,85760,85760
Kineshma,57.4500,42.1500,Russia,RU,Ivanovskaya Oblast’,,83871,83871
Zheleznogorsk,56.2500,93.5333,Russia,RU,Krasnoyarskiy Kray,,83857,83857
Chaykovskiy,56.7667,54.1167,Russia,RU,Permskiy Kray,,83077,83077
Kuznetsk,53.1167,46.6000,Russia,RU,Penzenskaya Oblast’,,82276,82276
Ust’-Ilimsk,58.0000,102.6667,Russia,RU,Irkutskaya Oblast’,,81976,81976
Yurga,55.7333,84.9000,Russia,RU,Kemerovskaya Oblast’,,81759,81759
Anapa,44.8944,37.3167,Russia,RU,Krasnodarskiy Kray,minor,81447,81447
Novouralsk,57.2500,60.0833,Russia,RU,Sverdlovskaya Oblast’,,81202,81202
Azov,47.1000,39.4167,Russia,RU,Rostovskaya Oblast’,minor,80721,80721
Klin,56.3339,36.7125,Russia,RU,Moskovskaya Oblast’,,79387,79387
Ivanteyevka,55.9700,37.9200,Russia,RU,Moskovskaya Oblast’,,79346,79346
Ozërsk,55.7556,60.7028,Russia,RU,Chelyabinskaya Oblast’,,79265,79265
Vyborg,60.7092,28.7442,Russia,RU,Leningradskaya Oblast’,,78457,78457
Kropotkin,45.4333,40.5667,Russia,RU,Krasnodarskiy Kray,,78149,78149
Bor,56.3603,44.0592,Russia,RU,Nizhegorodskaya Oblast’,,78063,78063
Usol’ye-Sibirskoye,52.7500,103.6500,Russia,RU,Irkutskaya Oblast’,,77407,77407
Gelendzhik,44.5608,38.0767,Russia,RU,Krasnodarskiy Kray,,77212,77212
Balashov,51.5500,43.1667,Russia,RU,Saratovskaya Oblast’,,76776,76776
Chernogorsk,53.8167,91.2833,Russia,RU,Khakasiya,,75419,75419
Shadrinsk,56.0833,63.6333,Russia,RU,Kurganskaya Oblast’,,75348,75348
Dubna,56.7500,37.1500,Russia,RU,Moskovskaya Oblast’,,75144,75144
Mineral’nyye Vody,44.2008,43.1125,Russia,RU,Stavropol’skiy Kray,,74141,74141
Yelabuga,55.7667,52.0333,Russia,RU,Tatarstan,,74031,74031
Troitsk,54.0833,61.5667,Russia,RU,Chelyabinskaya Oblast’,,73911,73911
Yegoryevsk,55.3667,39.0167,Russia,RU,Moskovskaya Oblast’,,73766,73766
Birobidzhan,48.7833,132.9333,Russia,RU,Yevreyskaya Avtonomnaya Oblast’,admin,73623,73623
Novoaltaysk,53.4000,83.9333,Russia,RU,Altayskiy Kray,,73439,73439
Vsevolozhsk,60.0160,30.6663,Russia,RU,Leningradskaya Oblast’,,72864,72864
Chapayevsk,52.9833,49.7167,Russia,RU,Samarskaya Oblast’,,72778,72778
Belovo,54.4167,86.3000,Russia,RU,Kemerovskaya Oblast’,,72519,72519
Kirovo-Chepetsk,58.5500,50.0167,Russia,RU,Kirovskaya Oblast’,,72071,72071
Verkhnyaya Pyshma,56.9667,60.5833,Russia,RU,Sverdlovskaya Oblast’,,71241,71241
Chekhov,55.1481,37.4769,Russia,RU,Moskovskaya Oblast’,,70548,70548
Anzhero-Sudzhensk,56.0833,86.0333,Russia,RU,Kemerovskaya Oblast’,,70476,70476
